frame.time_epoch,frame.len,ip.src,ip.dst,ip.proto,udp.srcport,udp.dstport,tcp.srcport,tcp.dstport
"1776353311.291823000","1292","149.43.98.24","172.64.146.215","17","57692","443",,
"1776353311.291832000","1292","149.43.98.24","172.64.146.215","17","57692","443",,
"1776353311.291841000","1292","149.43.98.24","172.64.146.215","17","57692","443",,
"1776353311.291850000","375","149.43.98.24","172.64.146.215","17","57692","443",,
"1776353311.293594000","66","172.64.146.215","149.43.98.24","17","443","57692",,
"1776353311.293595000","66","172.64.146.215","149.43.98.24","17","443","57692",,
"1776353311.297582000","419","149.43.98.24","172.64.146.215","17","57692","443",,
"1776353311.303096000","66","172.64.146.215","149.43.98.24","17","443","57692",,
"1776353311.303097000","66","172.64.146.215","149.43.98.24","17","443","57692",,
"1776353311.303098000","67","172.64.146.215","149.43.98.24","17","443","57692",,
"1776353311.309873000","66","172.64.146.215","149.43.98.24","17","443","57692",,
"1776353311.370407000","797","172.64.146.215","149.43.98.24","17","443","57692",,
"1776353311.374431000","87","149.43.98.24","172.64.146.215","17","57692","443",,
